# time       ekin         epot         x(t)         vx(t)        y(t)         vy(t)       
0.000000     -10.000000   0.500000     1.000000     0.000000     0.000000     1.000000    
0.010000     -10.004503   0.504503     0.999500     -0.100028    0.009998     0.999500    
0.020000     -10.018043   0.518043     0.997999     -0.200227    0.019987     0.997995    
0.030000     -10.040717   0.540717     0.995494     -0.300769    0.029955     0.995476    
0.040000     -10.072688   0.572689     0.991982     -0.401828    0.039893     0.991923    
0.050000     -10.114191   0.614191     0.987455     -0.503584    0.049790     0.987312    
0.060000     -10.165531   0.665531     0.981907     -0.606226    0.059635     0.981608    
0.070000     -10.227097   0.727098     0.975327     -0.709947    0.069418     0.974767    
0.080000     -10.299365   0.799367     0.967704     -0.814956    0.079127     0.966737    
0.090000     -10.382912   0.882914     0.959023     -0.921472    0.088749     0.957454    
0.100000     -10.478424   0.978427     0.949269     -1.029731    0.098272     0.946841    
0.110000     -10.586717   1.086720     0.938422     -1.139988    0.107681     0.934808    
0.120000     -10.708755   1.208758     0.926462     -1.252524    0.116963     0.921249    
0.130000     -10.845672   1.345677     0.913363     -1.367645    0.126101     0.906035    
0.140000     -10.998812   1.498817     0.899099     -1.485691    0.135077     0.889020    
0.150000     -11.169758   1.669765     0.883638     -1.607042    0.143874     0.870025    
0.160000     -11.360392   1.860400     0.866946     -1.732127    0.152471     0.848843    
0.170000     -11.572953   2.072962     0.848982     -1.861432    0.160843     0.825225    
0.180000     -11.810121   2.310133     0.829701     -1.995512    0.168966     0.798873    
0.190000     -12.075130   2.575144     0.809054     -2.135010    0.176811     0.769427    
0.200000     -12.371906   2.871923     0.786981     -2.280677    0.184343     0.736451    
0.210000     -12.705263   3.205284     0.763417     -2.433391    0.191526     0.699411    
0.220000     -13.081165   3.581191     0.738286     -2.594203    0.198316     0.657643    
0.230000     -13.507088   4.007120     0.711502     -2.764372    0.204661     0.610317    
0.240000     -13.992532   4.492572     0.682963     -2.945435    0.210500     0.556377    
0.250000     -14.549765   5.049816     0.652551     -3.139290    0.215762     0.494460    
0.260000     -15.194917   5.694982     0.620127     -3.348317    0.220357     0.422774    
0.270000     -15.949657   6.449742     0.585525     -3.575559    0.224177     0.338911    
0.280000     -16.843832   7.343945     0.548543     -3.824984    0.227085     0.239553    
0.290000     -17.919805   8.419960     0.508935     -4.101893    0.228902     0.119993    
