# time       x(t)         y(t)         vx(t)        vy(t)        ekin         epot        
0.000000     1.000000     0.000000     0.000000     1.000000     -10.000000   0.500000    
0.010000     0.999500     0.009998     -0.100028    0.999500     -10.004503   0.504503    
0.020000     0.997999     0.019987     -0.200227    0.997995     -10.018043   0.518043    
0.030000     0.995494     0.029955     -0.300768    0.995476     -10.040717   0.540717    
0.040000     0.991982     0.039893     -0.401827    0.991923     -10.072689   0.572689    
0.050000     0.987455     0.049790     -0.503584    0.987312     -10.114191   0.614191    
0.060000     0.981907     0.059635     -0.606225    0.981608     -10.165531   0.665531    
0.070000     0.975327     0.069418     -0.709946    0.974767     -10.227097   0.727097    
0.080000     0.967704     0.079127     -0.814955    0.966737     -10.299366   0.799366    
0.090000     0.959023     0.088749     -0.921470    0.957454     -10.382913   0.882913    
0.100000     0.949269     0.098271     -1.029729    0.946842     -10.478425   0.978425    
0.110000     0.938422     0.107681     -1.139987    0.934809     -10.586719   1.086719    
0.120000     0.926461     0.116962     -1.252522    0.921249     -10.708756   1.208756    
0.130000     0.913363     0.126100     -1.367643    0.906036     -10.845674   1.345674    
0.140000     0.899099     0.135077     -1.485689    0.889021     -10.998814   1.498814    
0.150000     0.883638     0.143874     -1.607040    0.870027     -11.169761   1.669761    
0.160000     0.866946     0.152470     -1.732124    0.848845     -11.360396   1.860396    
0.170000     0.848982     0.160843     -1.861428    0.825227     -11.572957   2.072957    
0.180000     0.829701     0.168966     -1.995508    0.798875     -11.810126   2.310126    
0.190000     0.809053     0.176810     -2.135006    0.769429     -12.075136   2.575136    
0.200000     0.786980     0.184343     -2.280672    0.736454     -12.371914   2.871914    
0.210000     0.763416     0.191526     -2.433386    0.699414     -12.705273   3.205273    
0.220000     0.738286     0.198315     -2.594196    0.657647     -13.081177   3.581177    
0.230000     0.711501     0.204660     -2.764365    0.610322     -13.507103   4.007103    
0.240000     0.682962     0.210500     -2.945427    0.556383     -13.992551   4.492551    
0.250000     0.652550     0.215761     -3.139280    0.494468     -14.549789   5.049789    
0.260000     0.620126     0.220357     -3.348306    0.422784     -15.194948   5.694948    
0.270000     0.585523     0.224176     -3.575546    0.338922     -15.949698   6.449698    
0.280000     0.548541     0.227083     -3.824968    0.239568     -16.843886   7.343886    
0.290000     0.508933     0.228901     -4.101872    0.120013     -17.919880   8.419880    
0.300000     0.466388     0.229394     -4.413543    -0.026671    -19.240037   9.740037    
0.310000     0.420512     0.228242     -4.770338    -0.211150    -20.900354   11.400354   
0.320000     0.370781     0.224988     -5.187610    -0.450807    -23.057262   13.557262   
0.330000     0.316480     0.218943     -5.689316    -0.776152    -25.985364   16.485364   
0.340000     0.256584     0.208989     -6.315291    -1.246478    -30.218301   20.718301   
0.350000     0.189529     0.193107     -7.136871    -1.995354    -36.958183   27.458183   
0.360000     0.112760     0.166976     -8.287313    -3.403533    -49.631798   40.131800   
0.370000     0.022269     0.117959     -9.826417    -7.144881    -83.303853   73.803895   
0.380000     -0.051831    -0.012626    2.368552     -18.715982   -187.451282  177.949016  
